rank,title,artist,artist_slug,song_slug,votes,score,versions,formats,lacuerda_url
1,Tu Poeta,Alex Campos,alex_campos,tu_poeta,1120,8.47,6,"R,T",https://acordes.lacuerda.net/alex_campos/tu_poeta
2,Amamos tu presencia,Miel San Marcos,miel_san_marcos,amamos_tu_presencia,893,7.88,2,R,https://acordes.lacuerda.net/miel_san_marcos/amamos_tu_presencia
3,Dios Háblame,Barak,barak,dios_hablame,656,8.34,4,R,https://acordes.lacuerda.net/barak/dios_hablame
4,Dios Incomparable,Generacion 12,generacion_12,dios_incomparable,571,8.93,5,"R,T",https://acordes.lacuerda.net/generacion_12/dios_incomparable
5,Al estar aquí,Danilo Montero,danilo_montero,al_estar_aqui,476,8.36,7,"R,T",https://acordes.lacuerda.net/danilo_montero/al_estar_aqui
6,La unica razón,Danilo Montero,danilo_montero,la_unica_razon,447,8.52,3,"R,T",https://acordes.lacuerda.net/danilo_montero/la_unica_razon
7,La tierra canta,Barak,barak,la_tierra_canta,434,8.09,2,"T,R",https://acordes.lacuerda.net/barak/la_tierra_canta
8,Bondad de Dios,Bethel Music,bethel_music,bondad_de_dios,432,7.74,3,R,https://acordes.lacuerda.net/bethel_music/bondad_de_dios
9,Al Taller Del Maestro,Alex Campos,alex_campos,al_taller_del_maestro,425,8.98,7,"R,B,T",https://acordes.lacuerda.net/alex_campos/al_taller_del_maestro
10,El sonido del silencio,Alex Campos,alex_campos,el_sonido_del_silencio,414,8.76,3,"R,T",https://acordes.lacuerda.net/alex_campos/el_sonido_del_silencio
11,La casa de Dios,Danilo Montero,danilo_montero,la_casa_de_dios,403,8.54,5,"R,T,B",https://acordes.lacuerda.net/danilo_montero/la_casa_de_dios
12,Me robaste el corazón,Alex Campos,alex_campos,me_robaste_el_corazon,388,9.18,6,"R,T,B",https://acordes.lacuerda.net/alex_campos/me_robaste_el_corazon
13,Dios esta aquí,Música Religiosa,musica_religiosa,dios_esta_aqui,380,7.84,1,R,https://acordes.lacuerda.net/musica_religiosa/dios_esta_aqui
14,Tu eres rey,Barak,barak,tu_eres_rey,366,7.82,4,R,https://acordes.lacuerda.net/barak/tu_eres_rey
15,Aunque mis ojos,Jesus Adrian Romero,jesus_adrian_romero,aunque_mis_ojos,364,8.15,2,R,https://acordes.lacuerda.net/jesus_adrian_romero/aunque_mis_ojos
16,Vasijas Rotas,Hillsong United,hillsong_united,vasijas_rotas,361,8.34,1,R,https://acordes.lacuerda.net/hillsong_united/vasijas_rotas
17,Amor sin condición,Bethel Music,bethel_music,amor_sin_condicion,347,8.47,3,R,https://acordes.lacuerda.net/bethel_music/amor_sin_condicion
18,Preciosa Sangre,Marco Barrientos,marco_barrientos,preciosa_sangre,344,7.99,1,R,https://acordes.lacuerda.net/marco_barrientos/preciosa_sangre
19,Bueno es alabar,Danilo Montero,danilo_montero,bueno_es_alabar,331,9.32,7,"R,H,T,K,B",https://acordes.lacuerda.net/danilo_montero/bueno_es_alabar
20,Algo está cayendo aquí,Jesus Adrian Romero,jesus_adrian_romero,algo_esta_cayendo_aqui,329,7.85,3,R,https://acordes.lacuerda.net/jesus_adrian_romero/algo_esta_cayendo_aqui
21,Danzar,Barak,barak,danzar,310,8.07,2,R,https://acordes.lacuerda.net/barak/danzar
22,Digno y Santo,Danilo Montero,danilo_montero,digno_y_santo,305,8.68,3,"R,T",https://acordes.lacuerda.net/danilo_montero/digno_y_santo
23,Abre los cielos,Jesus Adrian Romero,jesus_adrian_romero,abre_los_cielos,302,9.1,3,"R,T",https://acordes.lacuerda.net/jesus_adrian_romero/abre_los_cielos
24,Hosanna,Marco Barrientos,marco_barrientos,hosanna,285,8.54,1,R,https://acordes.lacuerda.net/marco_barrientos/hosanna
25,Tómalo,Hillsong United,hillsong_united,tomalo,279,8.5,1,R,https://acordes.lacuerda.net/hillsong_united/tomalo
26,Dios ha sido bueno,Marcos Witt,marcos_witt,dios_ha_sido_bueno,277,8.09,1,R,https://acordes.lacuerda.net/marcos_witt/dios_ha_sido_bueno
27,Espíritu Santo ven,Barak,barak,espiritu_santo_ven,272,8.42,2,R,https://acordes.lacuerda.net/barak/espiritu_santo_ven
28,Abre mis ojos,Danilo Montero,danilo_montero,abre_mis_ojos,269,7.99,3,R,https://acordes.lacuerda.net/danilo_montero/abre_mis_ojos
29,Dios de lo imposible,Marco Barrientos,marco_barrientos,dios_de_lo_imposible,268,7.88,1,R,https://acordes.lacuerda.net/marco_barrientos/dios_de_lo_imposible
30,Perfume a tus pies,Marcela Gandara,marcela_gandara,perfume_a_tus_pies,266,8.93,4,R,https://acordes.lacuerda.net/marcela_gandara/perfume_a_tus_pies
31,Océanos (donde mis pies pueden fallar),Hillsong United,hillsong_united,oceanos_donde_mis_pies_pueden_fallar,265,8.49,1,R,https://acordes.lacuerda.net/hillsong_united/oceanos_donde_mis_pies_pueden_fallar
32,Enciende Una Luz,Marcos Witt,marcos_witt,enciende_una_luz,262,8.65,1,R,https://acordes.lacuerda.net/marcos_witt/enciende_una_luz
33,Bendito Jesús,Danilo Montero,danilo_montero,bendito_jesus,255,8.73,6,"R,T",https://acordes.lacuerda.net/danilo_montero/bendito_jesus
34,Sentado en su trono,Danilo Montero,danilo_montero,sentado_en_su_trono,250,9.01,2,R,https://acordes.lacuerda.net/danilo_montero/sentado_en_su_trono
35,Somos el Pueblo,Marcos Witt,marcos_witt,somos_el_pueblo,249,8.47,1,R,https://acordes.lacuerda.net/marcos_witt/somos_el_pueblo
36,Dame De Beber,Marco Barrientos,marco_barrientos,dame_de_beber,248,8.24,1,R,https://acordes.lacuerda.net/marco_barrientos/dame_de_beber
37,Sueño de morir,Alex Campos,alex_campos,suenio_de_morir,247,9.34,6,"R,T,B",https://acordes.lacuerda.net/alex_campos/suenio_de_morir
38,Al que me ciñe,Jesus Adrian Romero,jesus_adrian_romero,al_que_me_cinie,246,8.47,3,R,https://acordes.lacuerda.net/jesus_adrian_romero/al_que_me_cinie
39,Dios Manda Lluvia,Rojo,rojo,dios_manda_lluvia,241,8.58,4,"R,T,K",https://acordes.lacuerda.net/rojo/dios_manda_lluvia
40,Cansado del camino,Jesus Adrian Romero,jesus_adrian_romero,cansado_del_camino,239,8.29,2,R,https://acordes.lacuerda.net/jesus_adrian_romero/cansado_del_camino
41,Nada es imposible,Marco Barrientos,marco_barrientos,nada_es_imposible,231,7.97,1,R,https://acordes.lacuerda.net/marco_barrientos/nada_es_imposible
42,Ayer te ví,Jesus Adrian Romero,jesus_adrian_romero,ayer_te_vi,230,9.6,5,"R,T",https://acordes.lacuerda.net/jesus_adrian_romero/ayer_te_vi
43,Eres rey de los cielos,Marco Barrientos,marco_barrientos,eres_rey_de_los_cielos,227,8.38,1,R,https://acordes.lacuerda.net/marco_barrientos/eres_rey_de_los_cielos
44,Como el color de la sangre,Alex Campos,alex_campos,como_el_color_de_la_sangre,226,8.67,6,"R,T,K",https://acordes.lacuerda.net/alex_campos/como_el_color_de_la_sangre
45,Con mis manos levantadas,Danilo Montero,danilo_montero,con_mis_manos_levantadas,225,9.06,6,R,https://acordes.lacuerda.net/danilo_montero/con_mis_manos_levantadas
46,A sus pies,Jesus Adrian Romero,jesus_adrian_romero,a_sus_pies,224,9.01,8,"R,B,T,K",https://acordes.lacuerda.net/jesus_adrian_romero/a_sus_pies
47,Creeré,Tercer Cielo,tercer_cielo,creere,224,8.03,1,R,https://acordes.lacuerda.net/tercer_cielo/creere
48,Recibe toda la gloria,Marco Barrientos,marco_barrientos,recibe_toda_la_gloria,224,8.0,1,R,https://acordes.lacuerda.net/marco_barrientos/recibe_toda_la_gloria
49,Cuan bello es el Señor,Marcos Witt,marcos_witt,cuan_bello_es_el_senior,222,8.11,1,R,https://acordes.lacuerda.net/marcos_witt/cuan_bello_es_el_senior
50,Aquí estoy yo,Jesus Adrian Romero,jesus_adrian_romero,aqui_estoy_yo,220,8.58,3,R,https://acordes.lacuerda.net/jesus_adrian_romero/aqui_estoy_yo
51,Cantaremos de tu amor,Barak,barak,cantaremos_de_tu_amor,219,10.0,4,"R,T",https://acordes.lacuerda.net/barak/cantaremos_de_tu_amor
52,Dame tus ojos,Marcela Gandara,marcela_gandara,dame_tus_ojos,214,8.49,4,"R,T",https://acordes.lacuerda.net/marcela_gandara/dame_tus_ojos
53,Rey de reyes,Marco Barrientos,marco_barrientos,rey_de_reyes,211,8.17,1,R,https://acordes.lacuerda.net/marco_barrientos/rey_de_reyes
54,Te quiero adorar,Barak,barak,te_quiero_adorar,210,9.19,4,R,https://acordes.lacuerda.net/barak/te_quiero_adorar
55,La Cosecha,Música Religiosa,musica_religiosa,la_cosecha,209,8.16,1,R,https://acordes.lacuerda.net/musica_religiosa/la_cosecha
56,Gracias,Marcos Witt,marcos_witt,gracias,207,7.62,1,R,https://acordes.lacuerda.net/marcos_witt/gracias
57,Cantaré de Tu Amor,Danilo Montero,danilo_montero,cantare_de_tu_amor,206,9.09,5,"R,T,B",https://acordes.lacuerda.net/danilo_montero/cantare_de_tu_amor
58,Somos el pueblo de Dios,Marcos Witt,marcos_witt,somos_el_pueblo_de_dios,205,7.77,1,R,https://acordes.lacuerda.net/marcos_witt/somos_el_pueblo_de_dios
59,Alabanzas al rey,Marcela Gandara,marcela_gandara,alabanzas_al_rey,203,9.0,5,"T,R",https://acordes.lacuerda.net/marcela_gandara/alabanzas_al_rey
60,A Jesús mi Señor,Danilo Montero,danilo_montero,a_jesus_mi_senior,198,10.0,3,"R,T",https://acordes.lacuerda.net/danilo_montero/a_jesus_mi_senior
61,Como en el cielo,Miel San Marcos,miel_san_marcos,como_en_el_cielo,198,8.56,4,R,https://acordes.lacuerda.net/miel_san_marcos/como_en_el_cielo
62,No tiene prisa,Alex Campos,alex_campos,no_tiene_prisa,197,8.97,5,"R,T",https://acordes.lacuerda.net/alex_campos/no_tiene_prisa
63,Amigo,Alex Campos,alex_campos,amigo,194,8.92,1,R,https://acordes.lacuerda.net/alex_campos/amigo
64,Santo por siempre,La IBI,ibi,santo_por_siempre,193,8.07,1,R,https://acordes.lacuerda.net/ibi/santo_por_siempre
65,Eres Todopoderoso,Danilo Montero,danilo_montero,eres_todopoderoso,185,9.36,9,"K,T,B,R",https://acordes.lacuerda.net/danilo_montero/eres_todopoderoso
66,Abre mis ojos oh Cristo,Alex Campos,alex_campos,abre_mis_ojos_oh_cristo,183,7.96,2,R,https://acordes.lacuerda.net/alex_campos/abre_mis_ojos_oh_cristo
67,A cada instante,Marcos Witt,marcos_witt,a_cada_instante,182,8.97,1,R,https://acordes.lacuerda.net/marcos_witt/a_cada_instante
68,De tal manera me amó,Marco Barrientos,marco_barrientos,de_tal_manera_me_amo,182,8.26,1,R,https://acordes.lacuerda.net/marco_barrientos/de_tal_manera_me_amo
69,Más alla del horizonte,Música Religiosa,musica_religiosa,mas_alla_del_horizonte,182,7.22,1,R,https://acordes.lacuerda.net/musica_religiosa/mas_alla_del_horizonte
70,Acéptame como ofrenda de amor,Jesus Adrian Romero,jesus_adrian_romero,aceptame_como_ofrenda_de_amor,181,8.5,2,R,https://acordes.lacuerda.net/jesus_adrian_romero/aceptame_como_ofrenda_de_amor
71,Con Poder,Barak,barak,con_poder,178,7.99,1,R,https://acordes.lacuerda.net/barak/con_poder
72,Dios de pactos,Marcos Witt,marcos_witt,dios_de_pactos,177,8.65,1,R,https://acordes.lacuerda.net/marcos_witt/dios_de_pactos
73,Al que es digno,Marcos Witt,marcos_witt,al_que_es_digno,174,8.53,7,"R,B",https://acordes.lacuerda.net/marcos_witt/al_que_es_digno
74,Hermoso Nombre,Hillsong United,hillsong_united,hermoso_nombre,173,7.82,1,R,https://acordes.lacuerda.net/hillsong_united/hermoso_nombre
75,Sólo Cristo,Hillsong United,hillsong_united,solo_cristo,172,8.44,1,R,https://acordes.lacuerda.net/hillsong_united/solo_cristo
76,Demente,Tercer Cielo,tercer_cielo,demente,171,9.0,2,R,https://acordes.lacuerda.net/tercer_cielo/demente
77,Eres Tú,Danilo Montero,danilo_montero,eres_tu,165,9.54,6,"R,T",https://acordes.lacuerda.net/danilo_montero/eres_tu
78,Señor llévame a tus atrios,Danilo Montero,danilo_montero,senior_llevame_a_tus_atrios,165,8.42,3,R,https://acordes.lacuerda.net/danilo_montero/senior_llevame_a_tus_atrios
79,Dios me ama,Danilo Montero,danilo_montero,dios_me_ama,165,8.2,5,"R,T",https://acordes.lacuerda.net/danilo_montero/dios_me_ama
80,Trae el cielo aquí,Barak,barak,trae_el_cielo_aqui,164,8.32,3,R,https://acordes.lacuerda.net/barak/trae_el_cielo_aqui
81,Revelación,Danilo Montero,danilo_montero,revelacion,163,9.07,4,"T,R",https://acordes.lacuerda.net/danilo_montero/revelacion
82,Vivo Estás,Hillsong United,hillsong_united,vivo_estas,163,8.08,1,R,https://acordes.lacuerda.net/hillsong_united/vivo_estas
83,Cuan grande es él,Rojo,rojo,cuan_grande_es_el,163,7.94,3,R,https://acordes.lacuerda.net/rojo/cuan_grande_es_el
84,Aquel que nos amó,Danilo Montero,danilo_montero,aquel_que_nos_amo,162,9.42,3,"R,T,B",https://acordes.lacuerda.net/danilo_montero/aquel_que_nos_amo
85,Mi pensamiento eres tú,Música Religiosa,musica_religiosa,mi_pensamiento_eres_tu,162,8.45,1,R,https://acordes.lacuerda.net/musica_religiosa/mi_pensamiento_eres_tu
86,A quien iré,Marcos Witt,marcos_witt,a_quien_ire,161,9.18,5,"R,B",https://acordes.lacuerda.net/marcos_witt/a_quien_ire
87,Que eres para mi,Alex Campos,alex_campos,que_eres_para_mi,159,9.7,7,"R,B,T",https://acordes.lacuerda.net/alex_campos/que_eres_para_mi
88,Vives tu vivo yo,Alex Campos,alex_campos,vives_tu_vivo_yo,155,8.81,3,"T,R",https://acordes.lacuerda.net/alex_campos/vives_tu_vivo_yo
89,Libre Soy,Barak,barak,libre_soy,154,8.45,3,"R,T",https://acordes.lacuerda.net/barak/libre_soy
90,Amigos,Alex Campos,alex_campos,amigos,153,8.5,4,"R,T",https://acordes.lacuerda.net/alex_campos/amigos
91,Al Rey,Marcos Witt,marcos_witt,al_rey,152,10.0,6,"R,T,B",https://acordes.lacuerda.net/marcos_witt/al_rey
92,Con mi Dios,Marco Barrientos,marco_barrientos,con_mi_dios,152,8.57,1,R,https://acordes.lacuerda.net/marco_barrientos/con_mi_dios
93,Vuelvo a Casa,Generacion 12,generacion_12,vuelvo_a_casa,152,8.3,1,R,https://acordes.lacuerda.net/generacion_12/vuelvo_a_casa
94,"Canto, danzo, salto",Miel San Marcos,miel_san_marcos,canto_danzo_salto,152,8.27,5,"R,B",https://acordes.lacuerda.net/miel_san_marcos/canto_danzo_salto
95,El Poderoso De Israel,Marcos Witt,marcos_witt,el_poderoso_de_israel,152,7.78,1,R,https://acordes.lacuerda.net/marcos_witt/el_poderoso_de_israel
96,Mejor es un día,Danilo Montero,danilo_montero,mejor_es_un_dia,151,8.03,2,"R,T",https://acordes.lacuerda.net/danilo_montero/mejor_es_un_dia
97,Desde el Amanecer,Rojo,rojo,desde_el_amanecer,149,9.08,5,"R,D",https://acordes.lacuerda.net/rojo/desde_el_amanecer
98,Abres Camino,Rojo,rojo,abres_camino,149,8.26,2,R,https://acordes.lacuerda.net/rojo/abres_camino
99,Abba Padre,Jesus Adrian Romero,jesus_adrian_romero,abba_padre,148,10.0,6,"R,D,T,K,B",https://acordes.lacuerda.net/jesus_adrian_romero/abba_padre
100,Hay Momentos,Danilo Montero,danilo_montero,hay_momentos,148,8.3,5,R,https://acordes.lacuerda.net/danilo_montero/hay_momentos
101,Quiero conocer a Jesús (Yeshua) - nuestro Dios,Generacion 12,generacion_12,quiero_conocer_a_jesus_yeshua__nuestro_dios,148,8.2,3,R,https://acordes.lacuerda.net/generacion_12/quiero_conocer_a_jesus_yeshua__nuestro_dios
102,El es el Rey,Danilo Montero,danilo_montero,el_es_el_rey,147,9.52,4,"R,T,B",https://acordes.lacuerda.net/danilo_montero/el_es_el_rey
103,Poderoso,Danilo Montero,danilo_montero,poderoso,147,9.51,2,R,https://acordes.lacuerda.net/danilo_montero/poderoso
104,Digno es el Señor,Marcela Gandara,marcela_gandara,digno_es_el_senior,147,8.17,5,"R,K",https://acordes.lacuerda.net/marcela_gandara/digno_es_el_senior
105,Milagro de amor tan infinito,Música Religiosa,musica_religiosa,milagro_de_amor_tan_infinito,146,8.39,1,R,https://acordes.lacuerda.net/musica_religiosa/milagro_de_amor_tan_infinito
106,Cada mañana,Jesus Adrian Romero,jesus_adrian_romero,cada_maniana,145,8.78,2,R,https://acordes.lacuerda.net/jesus_adrian_romero/cada_maniana
107,Salmo 84,Danilo Montero,danilo_montero,salmo_84,144,8.85,4,"R,T",https://acordes.lacuerda.net/danilo_montero/salmo_84
108,En la casa de Dios,Danilo Montero,danilo_montero,en_la_casa_de_dios,143,10.0,3,"R,D",https://acordes.lacuerda.net/danilo_montero/en_la_casa_de_dios
109,Lo único que quiero,Marcela Gandara,marcela_gandara,lo_unico_que_quiero,143,7.43,3,R,https://acordes.lacuerda.net/marcela_gandara/lo_unico_que_quiero
110,Dios,Danilo Montero,danilo_montero,dios,141,10.0,5,"R,T",https://acordes.lacuerda.net/danilo_montero/dios
111,Eres todo para mí,Generacion 12,generacion_12,eres_todo_para_mi,141,9.67,4,"R,T",https://acordes.lacuerda.net/generacion_12/eres_todo_para_mi
112,Sumérgeme en tu gloria,Barak,barak,sumergeme_en_tu_gloria,141,8.83,2,R,https://acordes.lacuerda.net/barak/sumergeme_en_tu_gloria
113,Si tuvieras fé como un grano de mostaza,Música Religiosa,musica_religiosa,si_tuvieras_fe_como_un_grano,141,8.58,1,R,https://acordes.lacuerda.net/musica_religiosa/si_tuvieras_fe_como_un_grano
114,Dios manda lluvia,Marco Barrientos,marco_barrientos,dios_manda_lluvia,139,8.92,1,R,https://acordes.lacuerda.net/marco_barrientos/dios_manda_lluvia
115,De gloria en gloria,Marcos Witt,marcos_witt,de_gloria_en_gloria,139,8.3,1,R,https://acordes.lacuerda.net/marcos_witt/de_gloria_en_gloria
116,Hasta ver tu gloria,Barak,barak,hasta_ver_tu_gloria,139,8.2,2,R,https://acordes.lacuerda.net/barak/hasta_ver_tu_gloria
117,El uno para el otro,Tercer Cielo,tercer_cielo,el_uno_para_el_otro,136,9.45,3,"R,T",https://acordes.lacuerda.net/tercer_cielo/el_uno_para_el_otro
118,Te vengo a decir,Alex Campos,alex_campos,te_vengo_a_decir,135,8.49,1,R,https://acordes.lacuerda.net/alex_campos/te_vengo_a_decir
119,Abre mis ojos oh Cristo,Hillsong United,hillsong_united,abre_mis_ojos_oh_cristo,135,8.28,1,R,https://acordes.lacuerda.net/hillsong_united/abre_mis_ojos_oh_cristo
120,Damos Honor a Tí,Danilo Montero,danilo_montero,damos_honor_a_ti,135,8.27,5,"R,K",https://acordes.lacuerda.net/danilo_montero/damos_honor_a_ti
121,Eres todo poderoso,Rojo,rojo,eres_todo_poderoso,133,8.91,4,"R,T,B",https://acordes.lacuerda.net/rojo/eres_todo_poderoso
122,"Adiós, Goodbye",Rojo,rojo,adios_goodbye,132,9.3,5,"R,B,T",https://acordes.lacuerda.net/rojo/adios_goodbye
123,Hosanna,Hillsong United,hillsong_united,hosanna,131,8.36,1,R,https://acordes.lacuerda.net/hillsong_united/hosanna
124,Buscando Refugio,Jesus Adrian Romero,jesus_adrian_romero,buscando_refugio,129,9.04,2,R,https://acordes.lacuerda.net/jesus_adrian_romero/buscando_refugio
125,En la cruz,Hillsong United,hillsong_united,en_la_cruz,129,8.78,1,R,https://acordes.lacuerda.net/hillsong_united/en_la_cruz
126,10 de septiembre,Alex Campos,alex_campos,10_de_septiembre,128,9.3,2,R,https://acordes.lacuerda.net/alex_campos/10_de_septiembre
127,Es Tiempo,Hillsong United,hillsong_united,es_tiempo,127,9.11,1,R,https://acordes.lacuerda.net/hillsong_united/es_tiempo
128,Al Que Me Sine,Jesus Adrian Romero,jesus_adrian_romero,al_que_me_sine,127,7.94,2,R,https://acordes.lacuerda.net/jesus_adrian_romero/al_que_me_sine
129,Fue en la cruz,Danilo Montero,danilo_montero,fue_en_la_cruz,125,9.64,3,"R,B",https://acordes.lacuerda.net/danilo_montero/fue_en_la_cruz
130,Por mi murió,Hillsong United,hillsong_united,por_mi_murio,125,8.79,1,R,https://acordes.lacuerda.net/hillsong_united/por_mi_murio
131,Quiero escuchar tu dulce voz,Marcos Witt,marcos_witt,quiero_escuchar_tu_dulce_voz,125,8.24,1,R,https://acordes.lacuerda.net/marcos_witt/quiero_escuchar_tu_dulce_voz
132,Junto a tí,Alex Campos,alex_campos,junto_a_ti,124,8.82,4,R,https://acordes.lacuerda.net/alex_campos/junto_a_ti
133,Temprano yo te buscaré,Marcos Witt,marcos_witt,temprano_yo_te_buscare,124,8.35,1,R,https://acordes.lacuerda.net/marcos_witt/temprano_yo_te_buscare
134,Los carros del faraón,Danilo Montero,danilo_montero,los_carros_del_faraon,124,7.84,1,R,https://acordes.lacuerda.net/danilo_montero/los_carros_del_faraon
135,El taller del maestro,Alex Campos,alex_campos,el_taller_del_maestro,123,8.62,2,"B,R",https://acordes.lacuerda.net/alex_campos/el_taller_del_maestro
136,Sin Reservas,Marco Barrientos,marco_barrientos,sin_reservas,123,7.91,1,R,https://acordes.lacuerda.net/marco_barrientos/sin_reservas
137,Dios Poderoso,La IBI,ibi,dios_poderoso,122,8.87,1,R,https://acordes.lacuerda.net/ibi/dios_poderoso
138,Poderoso Dios,Marcos Witt,marcos_witt,poderoso_dios,122,7.71,1,R,https://acordes.lacuerda.net/marcos_witt/poderoso_dios
139,A quien iré,Danilo Montero,danilo_montero,a_quien_ire,121,8.58,2,R,https://acordes.lacuerda.net/danilo_montero/a_quien_ire
140,El señor es mi pastor,Danilo Montero,danilo_montero,el_senior_es_mi_pastor,121,8.57,5,R,https://acordes.lacuerda.net/danilo_montero/el_senior_es_mi_pastor
141,Es Navidad,Marcos Witt,marcos_witt,es_navidad,121,8.45,1,R,https://acordes.lacuerda.net/marcos_witt/es_navidad
142,Bautízame con tu fuego,Generacion 12,generacion_12,bautizame_con_tu_fuego,121,8.06,1,R,https://acordes.lacuerda.net/generacion_12/bautizame_con_tu_fuego
143,Mira lo que hizo Dios,Marco Barrientos,marco_barrientos,mira_lo_que_hizo_dios,121,7.1,1,R,https://acordes.lacuerda.net/marco_barrientos/mira_lo_que_hizo_dios
144,Directo al Corazón,Danilo Montero,danilo_montero,directo_al_corazon,120,9.77,2,R,https://acordes.lacuerda.net/danilo_montero/directo_al_corazon
145,Alza tus Ojos y Mira,Marco Barrientos,marco_barrientos,alza_tus_ojos_y_mira,120,8.25,1,R,https://acordes.lacuerda.net/marco_barrientos/alza_tus_ojos_y_mira
146,Sobrenatural,Marcos Witt,marcos_witt,sobrenatural,119,8.62,1,R,https://acordes.lacuerda.net/marcos_witt/sobrenatural
147,Lo único que quiero,Marco Barrientos,marco_barrientos,lo_unico_que_quiero,119,8.05,1,R,https://acordes.lacuerda.net/marco_barrientos/lo_unico_que_quiero
148,Al estar ante tí,Jesus Adrian Romero,jesus_adrian_romero,al_estar_ante_ti,117,8.98,4,"R,T",https://acordes.lacuerda.net/jesus_adrian_romero/al_estar_ante_ti
149,Quiero mirar tu hermosura,Marco Barrientos,marco_barrientos,quiero_mirar_tu_hermosura,117,8.91,1,R,https://acordes.lacuerda.net/marco_barrientos/quiero_mirar_tu_hermosura
150,Acuérdate,Marcos Witt,marcos_witt,acuerdate,117,8.18,1,R,https://acordes.lacuerda.net/marcos_witt/acuerdate
151,Más Que Palabras,Marcos Witt,marcos_witt,mas_que_palabras,115,9.02,1,R,https://acordes.lacuerda.net/marcos_witt/mas_que_palabras
152,Exáltate,Marcos Witt,marcos_witt,exaltate,115,8.44,1,R,https://acordes.lacuerda.net/marcos_witt/exaltate
153,Admirable,Danilo Montero,danilo_montero,admirable,114,9.12,4,R,https://acordes.lacuerda.net/danilo_montero/admirable
154,Aquí Estoy,Hillsong United,hillsong_united,aqui_estoy,113,8.11,1,R,https://acordes.lacuerda.net/hillsong_united/aqui_estoy
155,Sana nuestra tierra,Marcos Witt,marcos_witt,sana_nuestra_tierra,112,8.44,1,R,https://acordes.lacuerda.net/marcos_witt/sana_nuestra_tierra
156,Quien dices que soy,Hillsong United,hillsong_united,quien_dices_que_soy,111,7.97,1,R,https://acordes.lacuerda.net/hillsong_united/quien_dices_que_soy
157,Brillo de mis ojos,Jesus Adrian Romero,jesus_adrian_romero,brillo_de_mis_ojos,109,8.44,2,"R,T",https://acordes.lacuerda.net/jesus_adrian_romero/brillo_de_mis_ojos
158,El señor está en este lugar,Marco Barrientos,marco_barrientos,el_senior_esta_en_este_lugar,108,8.18,1,R,https://acordes.lacuerda.net/marco_barrientos/el_senior_esta_en_este_lugar
159,Levántate y resplandece,Marco Barrientos,marco_barrientos,levantate_y_resplandece,107,8.71,1,R,https://acordes.lacuerda.net/marco_barrientos/levantate_y_resplandece
160,Aqui hay un muchacho,Música Religiosa,musica_religiosa,aqui_hay_un_muchacho,107,8.03,1,R,https://acordes.lacuerda.net/musica_religiosa/aqui_hay_un_muchacho
161,Oh Moradora De Sion,Marcos Witt,marcos_witt,oh_moradora_de_sion,106,8.59,1,R,https://acordes.lacuerda.net/marcos_witt/oh_moradora_de_sion
162,Has Aumentado,Danilo Montero,danilo_montero,has_aumentado,105,8.53,4,"R,B",https://acordes.lacuerda.net/danilo_montero/has_aumentado
163,Agradecimiento,Marcos Witt,marcos_witt,agradecimiento,105,8.1,2,R,https://acordes.lacuerda.net/marcos_witt/agradecimiento
164,Digno,Marco Barrientos,marco_barrientos,digno,105,8.1,1,R,https://acordes.lacuerda.net/marco_barrientos/digno
165,A ti atribuimos la gloria,Miel San Marcos,miel_san_marcos,a_ti_atribuimos_la_gloria,105,7.68,2,R,https://acordes.lacuerda.net/miel_san_marcos/a_ti_atribuimos_la_gloria
166,Tu cielo perdido,Alex Campos,alex_campos,tu_cielo_perdido,103,9.39,1,T,https://acordes.lacuerda.net/alex_campos/tu_cielo_perdido
167,Anhelo tu presencia,Marco Barrientos,marco_barrientos,anhelo_tu_presencia,102,8.37,1,R,https://acordes.lacuerda.net/marco_barrientos/anhelo_tu_presencia
168,Agnus Dei,Marco Barrientos,marco_barrientos,agnus_dei,100,7.93,1,R,https://acordes.lacuerda.net/marco_barrientos/agnus_dei
169,Al que esta sentado en el trono,Marcos Witt,marcos_witt,al_que_esta_sentado_en_el_trono,100,7.5,1,R,https://acordes.lacuerda.net/marcos_witt/al_que_esta_sentado_en_el_trono
170,Cada Día,Jesus Adrian Romero,jesus_adrian_romero,cada_dia,98,9.47,4,"R,T",https://acordes.lacuerda.net/jesus_adrian_romero/cada_dia
171,La Fruta Prohibida,Alex Campos,alex_campos,la_fruta_prohibida,97,9.03,4,"R,B",https://acordes.lacuerda.net/alex_campos/la_fruta_prohibida
172,Todo va a estar bien,Barak,barak,todo_va_a_estar_bien,97,8.28,1,R,https://acordes.lacuerda.net/barak/todo_va_a_estar_bien
173,Mientras Viva,Generacion 12,generacion_12,mientras_viva,95,8.73,4,"R,T",https://acordes.lacuerda.net/generacion_12/mientras_viva
174,Enamorados,Tercer Cielo,tercer_cielo,enamorados,95,8.72,2,R,https://acordes.lacuerda.net/tercer_cielo/enamorados
175,Que lindo es mi Cristo,Marcos Witt,marcos_witt,que_lindo_es_mi_cristo,95,7.56,1,R,https://acordes.lacuerda.net/marcos_witt/que_lindo_es_mi_cristo
176,Al Estar Aqui,Marcos Witt,marcos_witt,al_estar_aqui,94,9.33,6,R,https://acordes.lacuerda.net/marcos_witt/al_estar_aqui
