rank,title,artist,artist_slug,song_slug,votes,score,versions,formats,lacuerda_url
837,Amor sin condición,Generacion 12,generacion_12,amor_sin_condicion,19,6.58,1,R,https://acordes.lacuerda.net/generacion_12/amor_sin_condicion
838,Bendeciré (eres mi Dios),Miel San Marcos,miel_san_marcos,bendecire_eres_mi_dios,19,6.11,1,R,https://acordes.lacuerda.net/miel_san_marcos/bendecire_eres_mi_dios
839,Venimos Ante Ti,Música Religiosa,musica_religiosa,venimos_ante_ti,19,4.84,1,R,https://acordes.lacuerda.net/musica_religiosa/venimos_ante_ti
840,Cristo eres Rey,Marco Barrientos,marco_barrientos,cristo_eres_rey,18,9.72,1,R,https://acordes.lacuerda.net/marco_barrientos/cristo_eres_rey
841,Gracias Cristo,Hillsong United,hillsong_united,gracias_cristo,18,9.67,1,R,https://acordes.lacuerda.net/hillsong_united/gracias_cristo
842,Tu amor no tiene fín,Hillsong United,hillsong_united,tu_amor_no_tiene_fin,18,9.61,1,R,https://acordes.lacuerda.net/hillsong_united/tu_amor_no_tiene_fin
843,Santo es el Señor,Música Religiosa,musica_religiosa,santo_es_el_senior,18,9.56,1,R,https://acordes.lacuerda.net/musica_religiosa/santo_es_el_senior
844,Con mi Fé,Hillsong United,hillsong_united,con_mi_fe,18,9.28,1,R,https://acordes.lacuerda.net/hillsong_united/con_mi_fe
845,Mi Deseo,Hillsong United,hillsong_united,mi_deseo,18,9.22,1,R,https://acordes.lacuerda.net/hillsong_united/mi_deseo
846,Solo Jesús esta en mí,Danilo Montero,danilo_montero,solo_jesus_esta_en_mi,18,9.1,2,"R,B",https://acordes.lacuerda.net/danilo_montero/solo_jesus_esta_en_mi
847,Por el poder de tu amor,Hillsong United,hillsong_united,por_el_poder_de_tu_amor,18,8.94,1,R,https://acordes.lacuerda.net/hillsong_united/por_el_poder_de_tu_amor
848,Aquí estoy otra vez,Marcos Witt,marcos_witt,aqui_estoy_otra_vez,18,8.78,1,R,https://acordes.lacuerda.net/marcos_witt/aqui_estoy_otra_vez
